Source,Total No.,Age group at scan,Sex,Population,Adversity assessment,Adversity dimension,Reward paradigm,Reward stage,Cohort overlap,Status in this synthesis
"Birn et al., 2017",44,Young adult,Mixed,Community (exposure extremes),"Life-circumstances interview, childhood",Cumulative,Monetary incentive task,Anticipation,None,Primary hypoactivation model
"Casement et al., 2015",157,Young adult (scanned at 20),Male only,"Community, longitudinal","Cumulative stressful life events, ages 15–18",Cumulative,Monetary reward task,Anticipation,None,Primary hypoactivation model
"Richter et al., 2019",97,Adult,Mixed,"Community, healthy",CTQ and Trauma History Questionnaire,Cumulative,Reward acceptance/rejection task,Outcome / valuation,None,Primary hypoactivation model
"Aloi et al., 2024",178,Adolescent (10–18),Mixed,Community and residential care,CTQ (neglect vs comparison),Deprivation,Novelty reinforcement-learning task,Learning / RPE,"Blair et al., 2022",Primary hypoactivation model
"Harms et al., 2018",53,Adolescent (14–17),Mixed,"Community, exposure-defined groups",Documented early life stress,Threat (maltreatment),Instrumental learning and reversal,Outcome / feedback,None,Primary hypoactivation model
"Seitz et al., 2023",118,Adult,Mixed,Transdiagnostic and healthy volunteers,CECA.Q (maternal antipathy),Deprivation,Monetary and social incentive delay,Anticipation,None,Primary hypoactivation model
"Gerin et al., 2017",37,Child / early adolescent (mean 13),Mixed,"Community, documented maltreatment",Documented maltreatment (MT vs NMT),Threat (maltreatment),Probabilistic passive avoidance,Learning / EV and RPE,None,Both primary models
"DelDonno et al., 2019",50,Adult,Mixed,MDD (n = 23) and healthy controls (n = 27),CTQ total,Cumulative,Monetary incentive delay,Anticipation,None,Primary hyperactivation model
"Yang et al., 2021",45,Adolescent (mean 14.9),Mixed,"Community, mixed adversity profiles",CTQ (abuse and neglect dimensions),Threat and deprivation,Monetary incentive delay,Anticipation; outcome,None,Primary hyperactivation model (anticipation contrast only)
"Armbruster-Genç et al., 2025",69,Adolescent (10–16),Mixed,"Community, documented maltreatment",Documented maltreatment (MT vs NMT),Threat (maltreatment),Volatile probabilistic reversal learning,Outcome / feedback,"Armbruster-Genç et al., 2022",Evidence map only (ROI analysis; volatility × group interaction)
"Armbruster-Genç et al., 2022",70,Adolescent (10–16),Mixed,"Community, documented maltreatment",Documented maltreatment (MT vs NMT),Threat (maltreatment),Effort-based decision-making,Outcome / valuation,"Armbruster-Genç et al., 2025",Evidence map only (prespecified ACC ROI)
"Blair et al., 2022",142,Adolescent,Mixed,Community and residential care,CTQ (abuse and neglect dimensions),Threat and deprivation,Reinforcement-learning task,Learning / RPE,"Aloi et al., 2024",Sensitivity analysis A2 only
"Holz et al., 2017",171,Adult (scanned at 25),Mixed,"Mannheim Risk Cohort, epidemiological birth cohort","Standardized parent interview, childhood family adversity",Cumulative,Monetary incentive delay,Anticipation,"Boecker-Schlier et al., 2016",Evidence map only (ventral striatum ROI)
"Boecker-Schlier et al., 2016",168,Adult,Mixed,Mannheim Risk Cohort,Childhood adversity × COMT Val158Met,Cumulative,Monetary incentive delay,Anticipation,"Holz et al., 2017",Evidence map only (gene × environment interaction)
"Hanson et al., 2015",106,"Adolescent (11–15, rescanned +2 y)",Mixed,"Community, longitudinal",CTQ emotional neglect,Deprivation,Monetary reward task,Anticipation,None,"Evidence map only (ventral striatum ROI, longitudinal)"
