Source,Contrast ID,Adversity term,Contrast description,Direction,Modality,Reward stage,Analysis type,Whole brain,Correction as reported,Template space,Model
"Birn et al., 2017",BIR-A-hypo,Childhood stress exposure (extreme groups),"High vs low stress, gain anticipation",Decrease,Monetary,Anticipation,"Group comparison, main effect",Yes,AFNI 3dClustSim ACF; parameters not stated,Talairach / MNI discrepant,A
"Casement et al., 2015",CAS-A-hypo,Cumulative stressful life events,"Stress severity, reward anticipation",Decrease,Monetary,Anticipation,"Regression, main effect",No,AFNI AlphaSim within 4 a priori ROIs,MNI,A
"Richter et al., 2019",RIC-O-hypo,CTQ and THQ adversity load,"High vs low adversity, reward acceptance",Decrease,Monetary,Outcome / valuation,"Group comparison, main effect",No,"Small-volume correction, or P < .005 uncorrected",MNI,A
"Aloi et al., 2024",ALO-L-hypo,CTQ neglect,"High vs low neglect, RPE-modulated response",Decrease,Monetary,Learning / RPE,"Group comparison, main effect",Yes,"AFNI 3dClustSim ACF, 10,000 sims, P = .001, k = 17",Talairach (converted),A
"Harms et al., 2018",HAR-O-hypo,Documented early life stress,"Comparison > exposed, punished reversal",Decrease,Monetary,Outcome / feedback,"Group comparison, main effect",Yes,"AFNI 3dClustSim ACF, 10,000 sims, P < .005, k = 34",Talairach (converted); MNI in source table,A
"Seitz et al., 2023",SEI-A-hypo,Maternal antipathy (CECA.Q),"Antipathy severity, social reward anticipation",Decrease,Social,Anticipation,"Regression, main effect",Yes,"Cluster-level FWE, P < .05, voxel P < .001",MNI,A
"Gerin et al., 2017",GER-L-hypo,Documented maltreatment (MT vs NMT),"MT < NMT, expected-value modulation",Decrease,Monetary,Learning / EV,"Group comparison, main effect",Yes,"3dClustSim, P < .005, ke = 75",MNI,A
"Gerin et al., 2017",GER-L-hyper,Documented maltreatment (MT vs NMT),"MT > NMT, prediction-error modulation",Increase,Monetary,Learning / RPE,"Group comparison, main effect",Yes,"3dClustSim, P < .005, ke = 75",MNI,B
"DelDonno et al., 2019",DEL-A-hyper,CTQ total severity,"CTQ severity, reward anticipation",Increase,Monetary,Anticipation,"Regression, main effect (diagnosis and traits covaried)",Yes,"AFNI 3dClustSim, 1000 sims, P < .005, 464 mm³",MNI,B
"Yang et al., 2021",YAN-A-hyper,"CTQ abuse, adjusted for neglect","Abuse severity, reward anticipation condition difference",Increase,Monetary,Anticipation,"Whole-brain ANCOVA, main effect of abuse",Yes,"AFNI 3dClustSim ACF NN1, P < .005, k = 58",Talairach (converted),B
